source_group,relative_path,file_name,extension,size_mb,readable_type_guess,date_detected_in_name,suggested_phase,notes
UNKNOWN,descargar_datos.py,descargar_datos.py,py,0.001,other,,IGNORE_FOR_NOW,phase1_reason=Archivo no identificado como insumo de datos principal. | can_convert_to_municipio_fecha=NO
CHIRPS,CHIRPS p05 tiff/descargar.py,descargar.py,py,0.007,other,,IGNORE_FOR_NOW,phase1_reason=Archivo no identificado como insumo de datos principal. | can_convert_to_municipio_fecha=NO
CHIRPS,CHIRPS p05 tiff/chirps_p05/2018/01/chirps-v2.0.2018.01.01.tif.gz,chirps-v2.0.2018.01.01.tif.gz,tif.gz,3.0225,raster,2018-01-01,TOO_HEAVY_FOR_PHASE1_NOTEBOOK,phase1_reason=Raster pesado; mejor preprocesar fuera del notebook y convertir a municipio-fecha. | can_convert_to_municipio_fecha=YES | raster_meta=compressed_tif_gz (extract required)
CHIRPS,CHIRPS p05 tiff/chirps_p05/2018/01/chirps-v2.0.2018.01.02.tif.gz,chirps-v2.0.2018.01.02.tif.gz,tif.gz,3.1103,raster,2018-01-02,TOO_HEAVY_FOR_PHASE1_NOTEBOOK,phase1_reason=Raster pesado; mejor preprocesar fuera del notebook y convertir a municipio-fecha. | can_convert_to_municipio_fecha=YES | raster_meta=compressed_tif_gz (extract required)
CHIRPS,CHIRPS p05 tiff/chirps_p05/2018/01/chirps-v2.0.2018.01.03.tif.gz,chirps-v2.0.2018.01.03.tif.gz,tif.gz,3.3222,raster,2018-01-03,TOO_HEAVY_FOR_PHASE1_NOTEBOOK,phase1_reason=Raster pesado; mejor preprocesar fuera del notebook y convertir a municipio-fecha. | can_convert_to_municipio_fecha=YES | raster_meta=compressed_tif_gz (extract required)
CHIRPS,CHIRPS p05 tiff/chirps_p05/2018/01/chirps-v2.0.2018.01.04.tif.gz,chirps-v2.0.2018.01.04.tif.gz,tif.gz,2.9065,raster,2018-01-04,TOO_HEAVY_FOR_PHASE1_NOTEBOOK,phase1_reason=Raster pesado; mejor preprocesar fuera del notebook y convertir a municipio-fecha. | can_convert_to_municipio_fecha=YES | inspection_skipped=limit_reached(3) for source/type
CHIRPS,CHIRPS p05 tiff/chirps_p05/2018/01/chirps-v2.0.2018.01.05.tif.gz,chirps-v2.0.2018.01.05.tif.gz,tif.gz,2.7482,raster,2018-01-05,TOO_HEAVY_FOR_PHASE1_NOTEBOOK,phase1_reason=Raster pesado; mejor preprocesar fuera del notebook y convertir a municipio-fecha. | can_convert_to_municipio_fecha=YES | inspection_skipped=limit_reached(3) for source/type
CHIRPS,CHIRPS p05 tiff/chirps_p05/2018/01/chirps-v2.0.2018.01.06.tif.gz,chirps-v2.0.2018.01.06.tif.gz,tif.gz,3.052,raster,2018-01-06,TOO_HEAVY_FOR_PHASE1_NOTEBOOK,phase1_reason=Raster pesado; mejor preprocesar fuera del notebook y convertir a municipio-fecha. | can_convert_to_municipio_fecha=YES | inspection_skipped=limit_reached(3) for source/type
CHIRPS,CHIRPS p05 tiff/chirps_p05/2018/01/chirps-v2.0.2018.01.07.tif.gz,chirps-v2.0.2018.01.07.tif.gz,tif.gz,2.8886,raster,2018-01-07,TOO_HEAVY_FOR_PHASE1_NOTEBOOK,phase1_reason=Raster pesado; mejor preprocesar fuera del notebook y convertir a municipio-fecha. | can_convert_to_municipio_fecha=YES | inspection_skipped=limit_reached(3) for source/type
CHIRPS,CHIRPS p05 tiff/chirps_p05/2018/01/chirps-v2.0.2018.01.08.tif.gz,chirps-v2.0.2018.01.08.tif.gz,tif.gz,2.8335,raster,2018-01-08,TOO_HEAVY_FOR_PHASE1_NOTEBOOK,phase1_reason=Raster pesado; mejor preprocesar fuera del notebook y convertir a municipio-fecha. | can_convert_to_municipio_fecha=YES | inspection_skipped=limit_reached(3) for source/type
CHIRPS,CHIRPS p05 tiff/chirps_p05/2018/01/chirps-v2.0.2018.01.09.tif.gz,chirps-v2.0.2018.01.09.tif.gz,tif.gz,3.1705,raster,2018-01-09,TOO_HEAVY_FOR_PHASE1_NOTEBOOK,phase1_reason=Raster pesado; mejor preprocesar fuera del notebook y convertir a municipio-fecha. | can_convert_to_municipio_fecha=YES | inspection_skipped=limit_reached(3) for source/type
CHIRPS,CHIRPS p05 tiff/chirps_p05/2018/01/chirps-v2.0.2018.01.10.tif.gz,chirps-v2.0.2018.01.10.tif.gz,tif.gz,3.3294,raster,2018-01-10,TOO_HEAVY_FOR_PHASE1_NOTEBOOK,phase1_reason=Raster pesado; mejor preprocesar fuera del notebook y convertir a municipio-fecha. | can_convert_to_municipio_fecha=YES | inspection_skipped=limit_reached(3) for source/type
CHIRPS,CHIRPS p05 tiff/chirps_p05/2018/01/chirps-v2.0.2018.01.11.tif.gz,chirps-v2.0.2018.01.11.tif.gz,tif.gz,3.5821,raster,2018-01-11,TOO_HEAVY_FOR_PHASE1_NOTEBOOK,phase1_reason=Raster pesado; mejor preprocesar fuera del notebook y convertir a municipio-fecha. | can_convert_to_municipio_fecha=YES | inspection_skipped=limit_reached(3) for source/type
CHIRPS,CHIRPS p05 tiff/chirps_p05/2018/01/chirps-v2.0.2018.01.12.tif.gz,chirps-v2.0.2018.01.12.tif.gz,tif.gz,3.6077,raster,2018-01-12,TOO_HEAVY_FOR_PHASE1_NOTEBOOK,phase1_reason=Raster pesado; mejor preprocesar fuera del notebook y convertir a municipio-fecha. | can_convert_to_municipio_fecha=YES | inspection_skipped=limit_reached(3) for source/type
CHIRPS,CHIRPS p05 tiff/chirps_p05/2018/01/chirps-v2.0.2018.01.13.tif.gz,chirps-v2.0.2018.01.13.tif.gz,tif.gz,3.5902,raster,2018-01-13,TOO_HEAVY_FOR_PHASE1_NOTEBOOK,phase1_reason=Raster pesado; mejor preprocesar fuera del notebook y convertir a municipio-fecha. | can_convert_to_municipio_fecha=YES | inspection_skipped=limit_reached(3) for source/type
